1,1419,23.65
2,1390,23.1666666667
3,1499,24.9833333333
4,1456,24.2666666667
5,1173,19.55
6,1315,21.9166666667
7,1426,23.7666666667
8,1272,21.2
9,974,16.2333333333
10,828,13.8
11,1252,20.8666666667
12,1104,18.4
13,1295,21.5833333333
14,1504,25.0666666667
15,1277,21.2833333333
16,1303,21.7166666667
17,1441,24.0166666667
18,1468,24.4666666667
19,1301,21.6833333333
20,1327,22.1166666667
21,1364,22.7333333333
22,1252,20.8666666667
23,1378,22.9666666667
24,1923,32.05
25,1526,25.4333333333
26,1291,21.5166666667
27,748,12.4666666667
28,1270,21.1666666667
