1,1926,32.1
2,2598,43.3
3,2573,42.8833333333
4,2971,49.5166666667
5,2033,33.8833333333
6,2603,43.3833333333
7,2807,46.7833333333
8,2943,49.05
9,2993,49.8833333333
10,1982,33.0333333333
11,2039,33.9833333333
12,3605,60.0833333333
13,2452,40.8666666667
14,2902,48.3666666667
15,1846,30.7666666667
16,3068,51.1333333333
17,2887,48.1166666667
18,2585,43.0833333333
19,2733,45.55
20,3185,53.0833333333
21,2832,47.2
22,2092,34.8666666667
23,2294,38.2333333333
24,2629,43.8166666667
25,2717,45.2833333333
26,2134,35.5666666667
27,2718,45.3
28,2532,42.2
29,2798,46.6333333333
30,2475,41.25
31,2271,37.85
32,3588,59.8
33,2006,33.4333333333
34,2116,35.2666666667
35,2701,45.0166666667
36,2750,45.8333333333
