series_id,series_name,season,episode,wh,words_count
05,Breaking Bad,3,13,4466.09,3424
05,Breaking Bad,4,1,4629.33,3472
05,Breaking Bad,4,2,3357.33,2518
05,Breaking Bad,4,3,5858.67,4394
05,Breaking Bad,4,4,5908.64,4333
05,Breaking Bad,4,5,4077.39,3126
05,Breaking Bad,4,6,4167.39,3195
05,Breaking Bad,4,7,5000.87,3834
05,Breaking Bad,4,8,4803.91,3683
05,Breaking Bad,4,9,4807.83,3686
05,Breaking Bad,4,10,3400.43,2607
05,Breaking Bad,4,11,5408.0,4056
05,Breaking Bad,4,12,5091.82,3734
05,Breaking Bad,4,13,4244.08,3466
05,Breaking Bad,5,1,4342.86,3040
05,Breaking Bad,5,2,4926.52,3777
05,Breaking Bad,5,3,5876.0,4407
05,Breaking Bad,5,4,6021.33,4516
05,Breaking Bad,5,5,5942.55,4655
05,Breaking Bad,5,6,5467.83,4192
05,Breaking Bad,5,7,5186.09,3976
05,Breaking Bad,5,8,3811.3,2922
05,Breaking Bad,5,9,4426.96,3394
05,Breaking Bad,5,10,4327.83,3318
05,Breaking Bad,5,11,5772.0,4329
05,Breaking Bad,5,12,5060.87,3880
05,Breaking Bad,5,13,5987.73,4391
05,Breaking Bad,5,14,4365.33,3274
05,Breaking Bad,5,15,4686.92,4062
05,Breaking Bad,5,16,3645.6,3038
06,The Wire,1,1,6804.0,6804
06,The Wire,1,2,6938.57,6476
06,The Wire,1,3,6517.36,5757
06,The Wire,1,4,6020.69,5820
06,The Wire,1,5,6322.76,6112
06,The Wire,1,6,6202.11,5892
06,The Wire,1,7,6011.58,5711
06,The Wire,1,8,5802.22,5222
06,The Wire,1,9,5904.0,5412
06,The Wire,1,10,6696.67,6027
06,The Wire,1,11,6314.44,5683
06,The Wire,1,12,6713.33,6042
06,The Wire,1,13,6668.44,7113
06,The Wire,2,1,5813.57,5426
06,The Wire,2,2,6194.74,5885
06,The Wire,2,3,6200.36,5787
06,The Wire,2,4,6218.57,5804
06,The Wire,2,5,6650.18,6096
06,The Wire,2,6,6993.21,6527
06,The Wire,2,7,6079.29,5674
06,The Wire,2,8,5537.14,5168
06,The Wire,2,9,6604.29,6164
06,The Wire,2,10,5103.21,4763
06,The Wire,2,11,4731.43,4416
06,The Wire,2,12,5403.1,5223
06,The Wire,3,1,7077.86,6606
06,The Wire,3,2,6211.07,5797
06,The Wire,3,3,6362.14,5938
06,The Wire,3,4,6667.37,6334
06,The Wire,3,5,7129.29,6654
06,The Wire,3,6,7477.09,6854
06,The Wire,3,7,6887.78,6199
06,The Wire,3,8,7092.86,6620
06,The Wire,3,9,7748.73,7103
06,The Wire,3,10,7189.29,6710
06,The Wire,3,11,6900.0,6440
06,The Wire,3,12,5697.05,5792
06,The Wire,4,1,7092.63,6738
06,The Wire,4,2,8011.58,7611
06,The Wire,4,3,6135.79,5829
06,The Wire,4,4,7272.86,6788
06,The Wire,4,5,7266.32,6903
06,The Wire,4,6,6620.36,6179
06,The Wire,4,7,7467.86,6970
06,The Wire,4,8,6866.32,6523
06,The Wire,4,9,7955.79,7558
06,The Wire,4,10,6672.0,6116
06,The Wire,4,11,7574.74,7196
06,The Wire,4,12,6311.58,5996
06,The Wire,4,13,5757.66,7389
06,The Wire,5,1,6890.53,6546
06,The Wire,5,2,7209.64,6729
06,The Wire,5,3,6040.71,5638
06,The Wire,5,4,6366.32,6048
06,The Wire,5,5,7451.58,7079
06,The Wire,5,6,6966.43,6502
06,The Wire,5,7,7856.84,7464
06,The Wire,5,8,7725.0,7210
06,The Wire,5,9,6968.42,6620
06,The Wire,5,10,6750.33,10238
07,Cosmos,1,1,6438.57,4507
07,Cosmos,1,2,6578.57,4605
07,Cosmos,1,3,7277.14,5094
07,Cosmos,1,4,7052.2,4819
07,Cosmos,1,5,6430.0,4501
07,Cosmos,1,6,7406.51,5308
07,Cosmos,1,7,6692.2,4573
07,Cosmos,1,8,6868.5,4579
07,Cosmos,1,9,7336.1,5013
07,Cosmos,1,10,5869.23,3815
07,Cosmos,1,11,6932.2,4737
07,Cosmos,1,12,7006.15,4554
07,Cosmos,1,13,7185.71,5030
08,Rick and Morty,1,1,12411.43,4344
08,Rick and Morty,1,2,9377.14,3282
08,Rick and Morty,1,3,9245.71,3236
08,Rick and Morty,1,4,8525.71,2984
08,Rick and Morty,1,5,9885.71,3460
08,Rick and Morty,1,6,9820.0,3437
08,Rick and Morty,1,7,10202.86,3571
08,Rick and Morty,1,8,10080.0,3696
08,Rick and Morty,1,9,9414.55,3452
08,Rick and Morty,1,10,9619.09,3527
08,Rick and Morty,1,11,9496.36,3482
08,Rick and Morty,2,1,12199.09,4473
08,Rick and Morty,2,2,8820.0,3234
08,Rick and Morty,2,3,10099.09,3703
08,Rick and Morty,2,4,10131.43,3546
08,Rick and Morty,2,5,9943.64,3646
08,Rick and Morty,2,6,9259.09,3395
08,Rick and Morty,2,7,10145.45,3720
08,Rick and Morty,2,8,10167.27,3728
08,Rick and Morty,2,9,11754.29,4114
08,Rick and Morty,2,10,9139.09,3351
08,Rick and Morty,3,1,10573.04,4053
08,Rick and Morty,3,2,10180.91,3733
08,Rick and Morty,3,3,8585.22,3291
08,Rick and Morty,3,4,10669.09,3912
08,Rick and Morty,3,5,9698.18,3556
08,Rick and Morty,3,6,11285.45,4138
08,Rick and Morty,3,7,10194.55,3738
08,Rick and Morty,3,8,9791.43,3427
08,Rick and Morty,3,9,11018.18,4040
08,Rick and Morty,3,10,10884.55,3991
09,Cosmos (1980),1,1,6020.0,5719
09,Cosmos (1980),1,2,6540.0,6213
09,Cosmos (1980),1,3,6481.07,6049
09,Cosmos (1980),1,4,6998.64,6882
09,Cosmos (1980),1,5,6202.76,5996
09,Cosmos (1980),1,6,6288.81,6184
09,Cosmos (1980),1,7,6984.21,6635
09,Cosmos (1980),1,8,7126.78,7008
09,Cosmos (1980),1,9,6215.79,5905
09,Cosmos (1980),1,10,6588.2,6698
09,Cosmos (1980),1,11,6407.14,5980
09,Cosmos (1980),1,12,6054.83,5853
09,Cosmos (1980),1,13,5672.54,5578
10,Blue Planet II,1,1,3074.74,2921
10,Blue Planet II,1,2,3144.21,2987
10,Blue Planet II,1,3,3133.68,2977
10,Blue Planet II,1,4,3503.16,3328
10,Blue Planet II,1,5,3005.26,2855
10,Blue Planet II,1,6,3301.05,3136
10,Blue Planet II,1,7,5611.58,5331
11,The Sopranos,1,1,6424.14,6210
11,The Sopranos,1,2,7041.25,5633
11,The Sopranos,1,3,7445.71,5212
11,The Sopranos,1,4,6276.92,5440
11,The Sopranos,1,5,5234.18,4798
11,The Sopranos,1,6,6796.6,5324
11,The Sopranos,1,7,7649.39,6247
11,The Sopranos,1,8,6883.75,5507
11,The Sopranos,1,9,7585.88,6448
11,The Sopranos,1,10,7088.08,6143
11,The Sopranos,1,11,7188.51,5631
11,The Sopranos,1,12,6131.74,4701
11,The Sopranos,1,13,6476.95,6369
11,The Sopranos,2,1,5182.98,4060
11,The Sopranos,2,2,6347.5,5078
11,The Sopranos,2,3,6167.76,5037
11,The Sopranos,2,4,5670.0,4725
11,The Sopranos,2,5,5691.25,4553
11,The Sopranos,2,6,6639.18,5422
11,The Sopranos,2,7,6716.67,6045
11,The Sopranos,2,8,6686.34,4569
11,The Sopranos,2,9,5496.23,4855
11,The Sopranos,2,10,5922.11,5626
11,The Sopranos,2,11,6233.45,5714
11,The Sopranos,2,12,6342.41,6131
11,The Sopranos,2,13,4708.36,4316
11,The Sopranos,3,1,4600.85,3604
11,The Sopranos,3,2,4760.0,4284
11,The Sopranos,3,3,6281.79,5863
11,The Sopranos,3,4,5805.88,4935
11,The Sopranos,3,5,5131.58,4875
11,The Sopranos,3,6,5820.0,5529
11,The Sopranos,3,7,5132.94,4363
11,The Sopranos,3,8,5397.74,4768
11,The Sopranos,3,9,6512.09,4667
11,The Sopranos,3,10,4663.16,4430
11,The Sopranos,3,11,5701.05,5416
11,The Sopranos,3,12,5220.0,4959
11,The Sopranos,4,1,6193.09,5677
11,The Sopranos,4,2,6720.0,6160
11,The Sopranos,4,3,7197.69,6238
11,The Sopranos,4,4,5869.09,5380
11,The Sopranos,4,5,6408.46,5554
11,The Sopranos,4,6,5893.58,5206
11,The Sopranos,4,7,6205.38,5378
11,The Sopranos,4,8,6327.17,5589
11,The Sopranos,4,9,4893.82,4486
11,The Sopranos,4,10,5908.24,5022
11,The Sopranos,4,11,6320.45,4635
11,The Sopranos,4,12,5918.89,5327
11,The Sopranos,4,13,5608.33,6730
11,The Sopranos,5,1,6792.94,5774
11,The Sopranos,5,2,6205.56,5585
11,The Sopranos,5,3,7118.08,6169
11,The Sopranos,5,4,7050.0,5875
11,The Sopranos,5,5,6347.76,5184
11,The Sopranos,5,6,6588.68,5820
11,The Sopranos,5,7,6421.15,5565
11,The Sopranos,5,8,6709.2,5591
11,The Sopranos,5,9,7166.79,6689
11,The Sopranos,5,10,6718.8,5599
11,The Sopranos,5,11,4528.75,3623
11,The Sopranos,5,12,5397.78,4858
11,The Sopranos,5,13,5470.38,4741
11,The Sopranos,6,1,6399.23,5546
11,The Sopranos,6,2,6037.2,5031
11,The Sopranos,6,3,5745.28,5075
11,The Sopranos,6,4,6770.18,6206
11,The Sopranos,6,5,5516.33,4505
11,The Sopranos,6,6,5622.69,4873
11,The Sopranos,6,7,6951.92,6025
11,The Sopranos,6,8,5986.15,5188
11,The Sopranos,6,9,5285.88,4493
11,The Sopranos,6,10,5664.71,4815
11,The Sopranos,6,11,6099.62,5388
11,The Sopranos,6,12,5449.29,5086
11,The Sopranos,6,13,5734.29,4683
11,The Sopranos,6,14,6652.08,5876
11,The Sopranos,6,15,5397.82,4948
11,The Sopranos,6,16,6545.11,5127
11,The Sopranos,6,17,6755.77,5855
11,The Sopranos,6,18,4557.6,3798
11,The Sopranos,6,19,5628.0,4690
11,The Sopranos,6,20,4970.0,3976
11,The Sopranos,6,21,5551.03,5366
12,The World at War,1,1,5468.4,4557
12,The World at War,1,2,6697.65,5693
12,The World at War,1,3,4610.59,3919
12,The World at War,1,4,6289.41,5346
12,The World at War,1,5,5575.1,4553
12,The World at War,1,6,6219.6,5183
12,The World at War,1,7,7456.8,6214
12,The World at War,1,8,6170.59,5245
12,The World at War,1,9,6181.2,5151
12,The World at War,1,10,6724.71,5716
12,The World at War,1,11,5514.12,4687
12,The World at War,1,12,6092.4,5077
12,The World at War,1,13,6456.0,5380
12,The World at War,1,14,6134.4,5112
12,The World at War,1,15,4960.41,4051
12,The World at War,1,16,5074.29,4144
12,The World at War,1,17,7720.8,6434
12,The World at War,1,18,6272.4,5227
12,The World at War,1,19,5893.04,4518
12,The World at War,1,20,5624.71,4781
12,The World at War,1,21,7488.0,6240
12,The World at War,1,22,5415.29,4603
12,The World at War,1,23,5412.0,4510
12,The World at War,1,24,6361.18,5407
12,The World at War,1,25,6161.18,5237
12,The World at War,1,26,3766.8,3139
13,Avatar: The Last Airbender,1,1,5435.45,1993
13,Avatar: The Last Airbender,1,2,3697.14,1294
13,Avatar: The Last Airbender,1,3,5869.09,2152
13,Avatar: The Last Airbender,1,4,5678.18,2082
13,Avatar: The Last Airbender,1,5,5080.91,1863
13,Avatar: The Last Airbender,1,6,6493.64,2381
13,Avatar: The Last Airbender,1,7,5375.45,1971
13,Avatar: The Last Airbender,1,8,5960.0,2086
13,Avatar: The Last Airbender,1,9,6422.73,2355
13,Avatar: The Last Airbender,1,10,6829.09,2504
13,Avatar: The Last Airbender,1,11,7126.96,2732
13,Avatar: The Last Airbender,1,12,6566.09,2517
13,Avatar: The Last Airbender,1,13,4142.73,1519
13,Avatar: The Last Airbender,1,14,6960.0,2668
13,Avatar: The Last Airbender,1,15,5405.22,2072
13,Avatar: The Last Airbender,1,16,6104.35,2340
13,Avatar: The Last Airbender,1,17,5972.73,2190
13,Avatar: The Last Airbender,1,18,5860.91,2149
13,Avatar: The Last Airbender,1,19,4906.36,1799
13,Avatar: The Last Airbender,1,20,4299.13,1648
13,Avatar: The Last Airbender,2,1,5640.0,2162
13,Avatar: The Last Airbender,2,2,6101.74,2339
13,Avatar: The Last Airbender,2,3,5580.0,2046
13,Avatar: The Last Airbender,2,4,6297.39,2414
13,Avatar: The Last Airbender,2,5,4890.0,1793
13,Avatar: The Last Airbender,2,6,7463.48,2861
13,Avatar: The Last Airbender,2,7,3913.04,1500
13,Avatar: The Last Airbender,2,8,2885.22,1106
13,Avatar: The Last Airbender,2,9,6112.17,2343
13,Avatar: The Last Airbender,2,10,6313.04,2420
13,Avatar: The Last Airbender,2,11,6373.04,2443
13,Avatar: The Last Airbender,2,12,5793.91,2221
13,Avatar: The Last Airbender,2,13,2466.52,1891
13,Avatar: The Last Airbender,2,14,4930.43,1890
13,Avatar: The Last Airbender,2,15,4320.0,1656
13,Avatar: The Last Airbender,2,16,5366.09,2057
13,Avatar: The Last Airbender,2,17,5689.09,2086
13,Avatar: The Last Airbender,2,18,5360.87,2055
13,Avatar: The Last Airbender,2,19,5449.09,1998
13,Avatar: The Last Airbender,2,20,6743.48,2585
13,Avatar: The Last Airbender,3,1,5606.09,2149
13,Avatar: The Last Airbender,3,2,5078.18,1862
13,Avatar: The Last Airbender,3,3,2997.39,2298
13,Avatar: The Last Airbender,3,4,7340.87,2814
13,Avatar: The Last Airbender,3,5,6800.87,2607
13,Avatar: The Last Airbender,3,6,6787.83,2602
13,Avatar: The Last Airbender,3,7,5942.61,2278
13,Avatar: The Last Airbender,3,8,5971.3,2289
13,Avatar: The Last Airbender,3,9,6344.35,2432
13,Avatar: The Last Airbender,3,10,5955.65,2283
13,Avatar: The Last Airbender,3,11,6284.35,2409
13,Avatar: The Last Airbender,3,12,5324.35,2041
13,Avatar: The Last Airbender,3,13,6378.26,2445
13,Avatar: The Last Airbender,3,14,5430.0,1991
13,Avatar: The Last Airbender,3,15,7142.73,2619
13,Avatar: The Last Airbender,3,16,7500.0,2750
13,Avatar: The Last Airbender,3,17,6250.91,2292
14,Life,1,1,4021.05,3820
14,Life,1,2,3712.76,3589
14,Life,1,3,3958.97,3827
14,Life,1,4,4151.58,3944
14,Life,1,5,3648.62,3527
14,Life,1,6,4303.45,4160
14,Life,1,7,3838.95,3647
14,Life,1,8,4381.05,4162
14,Life,1,9,4796.84,4557
14,Life,1,10,3404.48,3291
15,Sherlock,1,1,6889.66,9990
15,Sherlock,1,2,5237.93,7595
15,Sherlock,1,3,6748.64,9898
15,Sherlock,2,1,6387.95,9369
15,Sherlock,2,2,6037.24,8754
15,Sherlock,2,3,5930.93,8501
15,Sherlock,3,1,5701.41,8077
15,Sherlock,3,2,7113.98,9841
15,Sherlock,3,3,6706.52,9948
15,Sherlock,4,1,6629.35,10165
15,Sherlock,4,2,7141.96,10951
15,Sherlock,4,3,6525.49,9897
16,Human Planet,1,1,4298.28,4155
16,Human Planet,1,2,4747.24,4589
16,Human Planet,1,3,4455.52,4307
16,Human Planet,1,4,4491.72,4342
16,Human Planet,1,5,3723.1,3599
16,Human Planet,1,6,4375.79,4157
16,Human Planet,1,7,3400.0,3230
16,Human Planet,1,8,5862.11,5569
17,The Twilight Zone,1,1,4742.4,1976
17,The Twilight Zone,1,2,7463.57,3483
17,The Twilight Zone,1,3,4161.43,1942
17,The Twilight Zone,1,4,6432.0,2680
17,The Twilight Zone,1,5,6072.0,2530
17,The Twilight Zone,1,6,6552.0,2730
17,The Twilight Zone,1,7,6912.0,2880
17,The Twilight Zone,1,8,4249.66,2054
17,The Twilight Zone,1,9,5420.69,2620
17,The Twilight Zone,1,10,6068.28,2933
17,The Twilight Zone,1,11,6033.6,2514
17,The Twilight Zone,1,12,4886.4,2036
17,The Twilight Zone,1,13,4684.14,2264
17,The Twilight Zone,1,14,5679.31,2745
17,The Twilight Zone,1,15,5077.24,2454
17,The Twilight Zone,1,16,6660.0,2775
17,The Twilight Zone,1,17,4353.6,1814
17,The Twilight Zone,1,18,6213.6,2589
17,The Twilight Zone,1,19,6345.6,2644
17,The Twilight Zone,1,20,5292.0,2205
17,The Twilight Zone,1,21,5841.6,2434
17,The Twilight Zone,1,22,7324.14,3540
17,The Twilight Zone,1,23,5815.2,2423
17,The Twilight Zone,1,24,5704.44,2567
17,The Twilight Zone,1,25,4555.2,1898
17,The Twilight Zone,1,26,4965.6,2069
17,The Twilight Zone,1,27,6436.8,2682
17,The Twilight Zone,1,28,6275.17,3033
17,The Twilight Zone,1,29,6262.22,2818
17,The Twilight Zone,1,30,6650.4,2771
17,The Twilight Zone,1,31,7543.2,3143
17,The Twilight Zone,1,32,4725.6,1969
17,The Twilight Zone,1,33,6124.8,2552
17,The Twilight Zone,1,34,4548.0,1895
17,The Twilight Zone,1,35,7032.0,2930
17,The Twilight Zone,1,36,6492.0,2705
17,The Twilight Zone,2,1,4831.2,2013
17,The Twilight Zone,2,2,5654.4,2356
17,The Twilight Zone,2,3,7960.8,3317
17,The Twilight Zone,2,4,5073.6,2114
17,The Twilight Zone,2,5,5548.8,2312
17,The Twilight Zone,2,6,6633.6,2764
17,The Twilight Zone,2,7,5640.0,2350
17,The Twilight Zone,2,8,6396.0,2665
17,The Twilight Zone,2,9,5270.4,2196
17,The Twilight Zone,2,10,7879.2,3283
17,The Twilight Zone,2,11,5954.4,2481
17,The Twilight Zone,2,12,5054.4,2106
